ainm_nm	ainm	fir	1471	ainmm
ainmheasartha_a	ainmheasartha	aid	1452	ainmesarda
ainmheasarthacht_nf	ainmheasarthacht	bain	1453	ainmesardacht
ainmhéid_nf	ainmhéid	bain	1447	ainméit
ainmhí_nm	ainmhí	fir	1460	1 ainmide
ainmhian_nf	ainmhian	bain	1457	ainmían
ainmhianach_a	ainmhianach	aid	1458	ainmíanach
ainmhín_a	ainmhín	aid	1466	ainmín
ainmhíne_nf	ainmhíne	bain	1467	ainmíne
ainmhinic_a	ainmhinic	aid	1445	ainmeinic
ainmhíoch_a	ainmhíoch	aid	1464	ainmidech
ainmní_nm	ainmní	fir	1475	ainmmnid
ainmnigh_v	ainmnigh	br	1476	ainmmnigidir
ainmniúil_a	ainmniúil	aid	1473	ainmmnech
ainmniúil_a	ainmniúil	aid	1474	ainmmnemail
ainneart_nm	ainneart	fir	1488	ainnert
ainneoin_s	ainneoin	af	1221	aindeóin
ainneonach_a	ainneonach	aid	1222	aindeónach
ainnir_nf	ainnir	bain	1225	ainder
ainnis_a	ainnis	aid	1215	aindeis
ainnis_a	ainnis	aid	1217	aindeisech
ainnise_nf	ainnise	bain	1216	aindeise
ainriail_nf	ainriail	bain	1506	ainríagal
ainriata_a	ainriata	aid	1146	aimríata
ainriocht_nm	ainriocht	fir	1147	aimricht
ainriocht_nm	ainriocht	fir	1510	ainricht
ainriochtach_a	ainriochtach	aid	1511	ainrichtach
áinsí_nm	áinsí	fir	1533	2 áinsid
ainsile_nm	ainsile	fir	1494	ainnsile
ainspiorad_nm	ainspiorad	fir	1536	ainspirut
ainsprid_nf	ainsprid	bain	1536	ainspirut
ainteann_a	ainteann	aid	1547	aintenn
ainteas_nm	ainteas	fir	1548	aintes
ainteastach_nm	ainteastach	fir	1549	aintestach
aintiarnúil_a	aintiarnúil	aid	1553	aintigernamail
aintiún_nm	aintiún	fir	1545	aintemain
aintréan_a	aintréan	aid	1557	aintrén
aíocht_nf	aíocht	bain	33645	oígidecht
airbhe_nf	airbhe	bain	1609	1 airbe
airc_nf	airc	bain	1660	2 airc
áirc_nf	áirc	bain	3991	árc
áirc_nf	áirc	bain	4130	3 arg
airceach_a	airceach	aid	1671	aircesach
aircheadal_nm	aircheadal	fir	1707	airchetal
airchinneach_nm	airchinneach	fir	1719	airchinnech
aircín_nm	aircín	fir	33959	orcín
aird1_nf	aird^1	bain	1792	1 aird
aird2_nf	aird^2	bain	1793	2 aird
airde_nf	airde	bain	4046	ardae, airde
aire_nf	aire	bain	1883	1 aire
aire_nf	aire	bain	2101	airige
aire_nm	aire	fir	1885	3 aire
aireach_a	aireach	aid	1898	4 airech
aireachas_nm	aireachas	fir	1901	2 airechas
aireachtáil_nf	aireachtáil	bain	2156	airiugad
aireag_nf	aireag	bain	1890	airec
aireagal_nm	aireagal	fir	1892	airecal
aireaghdha_a	aireaghdha	aid	1917	airegda (-ae)
airéal_nf	airéal	bain	1924	airél
aireamh_nm	aireamh	fir	1926	airem
áireamh_nm	áireamh	fir	1927	áirem
airear_nm	airear	fir	1931	2 airer
airgead_nm	airgead	fir	4140	argat
áirgheach_a	áirgheach	aid	2030	áirgech
áirgheach_nm	áirgheach	fir	2030	áirgech
airgtheach_a	airgtheach	aid	1666	aircech
airí_nf	airí	bain	2103	1 airigid
airí_nm	airí	fir	1812	1 airde
áirí_nf	áirí	bain	2027	áirge
airigh_v	airigh	br	2105	airigidir
áirigh_v	áirigh	br	2270	áirmigid
áirithe_a	áirithe	aid	14292	dáirithe
áirithe_a	áirithe	aid	2143	áirithe
áirithe_nf	áirithe	bain	2143	áirithe
airle_nf	airle	bain	2185	1 airle
airleacan_nm	airleacan	fir	2212	airlicud
airm_s	airm	af	2231	airm
áirmheach_a	áirmheach	aid	2248	áirmech
airmheán_nm	airmheán	fir	2251	airmedón
airne_nf	airne	bain	2312	áirne
airneán_nm	airneán	fir	2321	airnén
airneán_nm	airneán	fir	32949	1 nairne
airnéis_nf	airnéis	bain	2317	airnéis
airnéis_nf	airnéis	bain	33736	oirnis
áirse_nf	áirse	bain	2392	áirse
áirseoir_nm	áirseoir	fir	2398	áirseóir
airteagal_nm	airteagal	fir	4337	articol, airtecal
áis_nf	áis	bain	2468	áis
ais2_s	ais^1	af	2466	1 ais
ais1_s	ais^3	af	2468	áis
aisc_nf	aisc	bain	2470	1 aisc
aisc_v	aisc	br	20414	2 escaid
aisce_nf	aisce	bain	2475	2 aiscid
áiseach_a	áiseach	aid	2483	áisech
aiseag_nm	aiseag	fir	2482	aisec
aiseag_nm	aiseag	fir	39846	taisecc
aiseal_nm	aiseal	fir	2493	aisil
aiséirí_nm	aiséirí	fir	20489	es(s)éirge
aiséirigh_v	aiséirigh	br	20490	eséirgid
aiséirigh_v	aiséirigh	br	4429	as-éirig
aisig_v	aisig	br	2489	aisicid
aisling_nf	aisling	bain	2497	aislinge
aislingeach_nm	aislingeach	fir	2499	aislingthech
aisréad_nm	aisréad	fir	20589	esríat
aiste_nf	aiste	bain	2516	aiste
aisteach_a	aisteach	aid	2517	aistech
aisteachas_nm	aisteachas	fir	2518	aistechas
aistear_nm	aistear	fir	4524	astar
aistire_nm	aistire	fir	2521	aistire
aistire_nm	aistire	fir	2524	aistreóir
aistreach_a	aistreach	aid	2523	aistrech
aistrigh_v	aistrigh	br	2526	aistrigid
ait_a	ait	aid	2825	aitt
áit_nf	áit	bain	2826	áitt
aiteacht_nf	aiteacht	bain	2827	aitte
aiteall_nm	aiteall	fir	20645	2 etal
aiteann_nm	aiteann	fir	2832	aittenn
aiteannach_nf	aiteannach	bain	2838	aittnech
aiteas_nm	aiteas	fir	2833	aittes
áith_a	áith	aid	2546	1 áith
áith_nf	áith	bain	2547	2 áith
áithe_nf	áithe	bain	2604	áithe
aitheach_nm	aitheach	fir	2605	1 aithech
aitheanta_a	aitheanta	aid	2623	1 aithenta
aitheantas_nm	aitheantas	fir	2625	aithentas
aitheasc_nm	aitheasc	fir	2637	aithesc
aithin1_v	aithin^1	br	2762	2 aithnid
aithin2_v	aithin^2	br	2761	1 aithnid
aithinne_nf	aithinne	bain	2706	aithinne
aithis_nf	aithis	bain	2716	aithis
aithiseach_a	aithiseach	aid	2717	aithisech
aithiseoir_nm	aithiseoir	fir	2719	aithiseóir
aithisigh_v	aithisigh	br	2721	aithisigid(ir)
aithle_s	aithle	af	2692	aithilte
aithle_s	aithle	af	2724	aithle
aithne1_nf	aithne^1	bain	2754	2 aithne
aithne2_nf	aithne^2	bain	2753	1 aithne
aithneach_a	aithneach	aid	2756	aithnech
aithnid_nf	aithnid	bain	2763	3 aithnid
aithreachas_nm	aithreachas	fir	2771	aithrechus
aithrí_nf	aithrí	bain	2782	aithrige
aithríoch_a	aithríoch	aid	2769	aithrech
aithríoch_a	aithríoch	aid	2784	aithrigech
aithríoch_nm	aithríoch	fir	2784	aithrigech
aithris_nf	aithris	bain	2789	aithris
aithris_v	aithris	br	2792	aithrisid
aithriseach_nm	aithriseach	fir	2790	aithrisech
aithriúil_a	aithriúil	aid	2776	aithremail
áitigh_v	áitigh	br	2835	áittigid
aitim_v	aitim	br	583	ad-teich
áititheoir_nm	áititheoir	fir	2836	áittigtheóir
áitreabhach_a	áitreabhach	aid	2846	aittrebthach
áitreabhach_nm	áitreabhach	fir	2846	aittrebthach
áitrigh_v	áitrigh	br	589	ad-treba
áitritheoir_nm	áitritheoir	fir	2849	áittreóir
áitriú_nm	áitriú	fir	2843	aittrebad
ál_nm	ál	fir	2855	1 ál
ala_s	ala	af	4800	athlad.
alabhreac_a	alabhreac	aid	2868	alad
áladh_nm	áladh	fir	2868	alad
álainn_a	álainn	aid	2881	álaind
aláram_nm	aláram	fir	2885	alárum
aláram_nm	aláram	fir	29585	larum
alchaing_nf	alchaing	bain	2895	alchaing
damhán alla	damhán alla		14487	damán
damhán alla	damhán alla		19012	4 dubán
allabhair_nf	allabhair	bain	2921	allabair, allobair
alladh_nm	alladh	fir	2992	allud
allamuigh_a	allamuigh	aid	2935	allamaig
allas_nm	allas	fir	2942	allas
allasúil_a	allasúil	aid	1057	aillsech
allmhaire_nf	allmhaire	bain	2979	allmuir
allta_a	allta	aid	2930	allaid
allta_a	allta	aid	2985	allta
alltacht_nf	alltacht	bain	2986	alltacht
alltar_nm	alltar	fir	2990	alltar
alltarach_a	alltarach	aid	2991	alltarach
allúrach_a	allúrach	aid	2976	allmarach
allúrach_nm	allúrach	fir	2976	allmarach
Almáinis_nf	Almáinis	bain	2998	Almainech
almóinn_nf	almóinn	bain	3001	almont
almóir_nm	almóir	fir	21280	falmóir
almsa_nf	almsa	bain	3002	almsa
almsach_nm	almsach	fir	3003	almsanach
aló_nm	aló	fir	3008	aloe, aloén
alp_v	alp	br	3009	alp
alpach_a	alpach	aid	3011	alpach
alpadh_nm	alpadh	fir	3012	alpad
alt_nm	alt	fir	3016	1 alt
altach_a	altach	aid	1081	ailtech
altach_a	altach	aid	3022	altach
altaigh_v	altaigh	br	585	ad-tluichethar
altán1_nm	altán^1	fir	3026	altán
altán2_nm	altán^2	fir	3025	altan
altóir_nf	altóir	bain	3034	altóir
altram_nm	altram	fir	3039	altram(m)
altramaí_nm	altramaí	fir	3041	2 altram(m)aid
altramaigh_v	altramaigh	br	3040	1 altram(m)aid
altranas_nm	altranas	fir	3042	altrannas
altú_nm	altú	fir	4944	attlugud
am_nm	am	fir	3157	1 amm
ama_nm	ama	fir	3159	amma
amach_adv	amach	db	27644	immach, ammach
amadán_nm	amadán	fir	3172	ammatán
